央视频道,#genre#
CGTN纪录[1024*576],https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8?zshijd
CGTN拉丁美洲[1024*576],http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN美国[1024*576],http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CGTN西语[1024*576],https://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8?zshijd
CGTN西语[1024*576],https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTNРусский[1024*576],http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
Channel News Asia[1920*1080],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
Channel News Asia[1920*1080],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
CNA(1080p)[480*270],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8?zshijd
CNC中文[1280*720],http://source07.v.news.cn/live/CNC_CN/playlist.m3u8?zshijd
f时尚[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8?zshijd
f时尚[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8?zshijd
KH_BayonTV[480*360],http://203.176.130.123:8989/live/bayontv1_480k.stream/playlist.m3u8?zshijd
KH_FreshNewsTV[1280*720],http://167.99.65.12:1935/live/ngrp:myStream_all/chunklist.m3u8?zshijd
KH_PNN体育[480*360],http://203.176.130.123:8989/live/pnn_480k.stream/playlist.m3u8?zshijd
NASA Public Channel[1280*720],https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8?zshijd
NASATVPublic[1280*720],https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8?zshijd
NHK·国际[1280*720],https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8?zshijd
数字频道,#genre#
北京纪实[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225676/index.m3u8
北京纪实[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8
超级电视剧[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225765/index.m3u8
超级电视剧[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225625/index.m3u8
超级电视剧[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225625/index.m3u8
超级电影[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225623/index.m3u8
超级电影[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225623/index.m3u8
超级电影[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225623/index.m3u8
超级电影[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225766/index.m3u8
超级电影[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225766/index.m3u8
超级电影[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225766/index.m3u8
超级电影[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8
超级综艺[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225768/index.m3u8
超级综艺[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225768/index.m3u8
超级综艺[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225620/index.m3u8
超级综艺[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225620/index.m3u8
超级综艺[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225620/index.m3u8
黑莓电竞[1920*1080][1920*1080],http://111.40.196.9/PLTV/88888888/224/3221225606/index.m3u8
黑莓电竞[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225749/index.m3u8
黑莓电竞[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225653/index.m3u8
黑莓电竞[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225750/index.m3u8
黑莓电影[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225718/index.m3u8
黑莓电影[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225769/index.m3u8
黑莓电影[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225718/index.m3u8
黑莓电影[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225764/index.m3u8
黑莓动画[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225672/index.m3u8
黑莓动画[1920*1080][1920*1080],http://111.40.196.9/PLTV/88888888/224/3221225628/index.m3u8
清华大学[1920*1080][1920*1080],https://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8
五星体育频道[1280*720][1280*720],http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
新华英文[1280*720][1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
新华英文[1280*720][1280*720],http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8
新华中文[1280*720][1280*720],http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8
新华中文[1280*720][1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CHC动作电影[1920*1080][1920*1080],http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8
CHC高清电影[1920*1080][1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226463/index.m3u8
CHC家庭影院[1920*1080][1920*1080],http://111.20.33.93/PLTV/88888893/224/3221226462/index.m3u8
NewTV超级体育[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225648/index.m3u8
NewTV超级体育[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225767/index.m3u8
NewTV超级体育[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225648/index.m3u8
NewTV超级体育[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225622/index.m3u8
NewTV超级体育[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225622/index.m3u8
NewTV潮妈辣婆[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225708/index.m3u8
NewTV古装剧场[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225678/index.m3u8
NewTV古装剧场[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225678/index.m3u8
NewTV家庭剧场[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225713/index.m3u8
NewTV金牌综艺[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225711/index.m3u8
NewTV金牌综艺[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225711/index.m3u8
NewTV精品大剧[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225714/index.m3u8
NewTV精品纪录[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225710/index.m3u8
NewTV精品体育[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
NewTV精品体育[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225709/index.m3u8
NewTV军旅剧场[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225669/index.m3u8
NewTV军旅剧场[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225669/index.m3u8
NewTV军旅剧场[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225669/index.m3u8
NewTV军事评论[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225757/index.m3u8
NewTV明星大片[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8
NewTV明星大片[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225716/index.m3u8
NewTV农业致富[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225670/index.m3u8
NewTV农业致富[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225670/index.m3u8
NewTV农业致富[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225670/index.m3u8
NewTV武搏世界[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225656/index.m3u8
NewTV武搏世界[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225656/index.m3u8
NewTV炫舞未来[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225707/index.m3u8
NewTV炫舞未来[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225707/index.m3u8
